values('Asesino', 'Lancelot', 'Facil', 'Arturiano'),
('Mago', 'Tiamat', 'Dificil', 'Nordico'),
('Guerrero', 'Tyr', 'Dificil', 'Hindu'),
('Guerrero', 'Vamana', 'Facil', 'Romano'),
('Mago', 'Vulcan', 'Dificil', 'Maya'),
('Cazador', 'Xbalanque', 'Dificil', 'Nordico'),
('Guardian', 'Ymir', 'Dificil', 'Griego'),
('Mago', 'Zeus', 'Dificil', 'Egipcio'),
('Mago', 'Anubis', 'Dificil', 'Griego'),
('Guardian', 'Cerberus', 'Facil', 'Egipcio'),
('Mago', 'Thoth', 'Facil', 'Eslavo'),
('Cazador', 'Chernobog', 'Facil', 'Nordico'),
('Asesino', 'Fenrir', 'Facil', 'Hindu'),
('Mago', 'Agni', 'Facil', 'Japones'),
('Guerrero', 'Amaterasu', 'Facil', 'Hindu'),
('Guardian', 'Kumbhakarna', 'Facil', 'Hindu'),
('Guerrero', 'Shiva', 'Facil', 'Maya'),
('Cazador', 'Ah Muzen Cab', 'Facil', 'Arturiano'),
('Guerrero', 'King Arthur', 'Dificil', 'Arturiano'),
('Mago', 'Morgan Le Fay', 'Facil', 'Arturiano'),
